# gearcode	meshsize selectivity device
4000	 
4100	 
4150	 
4151	 
4152	 
4153	 
4154	 
4110	 
4111	 
4112	 
4113	 
4114	 
4115	 
4116	 
4117	 
4118	 
4119	 
4120	 
4121	 
4122	 
4123	 
4124	 
4125	 
4126	 
4127	 
4128	 
4129	 
4140	 
4141	 
4142	 
4143	 
4144	 
4145	 
4146	 
4147	 
4148	 
4149	 
4160	 
4161	 
4162	 
4163	 
4164	 
4165	 
4166	 
4167	 
4168	 
4169	 
4170	 
4171	 
4180	 
4181	 
4182	 
4183	 
4184	 
4185	 
5100	 
5101	 
5110	 
5112	 
5120	 
5121	 
5141	 
5211	 
5212	 
3021	50
3600	 